id_cliente,mes_referencia,idade,renda_mensal,tempo_cliente_meses,atrasos_ult_6m,limite_credito,canal,plano,valor_fatura,qtd_faturas_ult_12m,dias_medio_atraso_ult_6m,valor_em_atraso_ult_6m,qtd_cartoes_vinculados,possui_debito_ativo,regiao,tipo_emprego,aceitou_pix,score_risco_interno,inadimplente_prox_mes,inadimplente_prox_3m,cobranca_pos_evento,pagamento_confirmado_prox_mes
32,2026-01,44,4460.61,99,2,6496.4,loja,plus,114.45,11,10.3,35.7,1,0,N,autonomo,1,0.0321,0,0,0,1
33,2026-01,59,6692.49,105,2,2414.09,app,premium,171.97,11,4.0,19.2,1,0,SE,CLT,1,0.0399,0,1,0,1
34,2026-01,45,3798.98,30,2,7452.56,app,basico,84.94,12,19.1,39.76,1,0,SE,autonomo,1,0.0934,0,0,0,1
35,2026-01,33,3702.96,17,2,2189.96,loja,basico,72.58,12,8.8,37.08,2,0,NE,CLT,0,0.1104,0,0,0,1
36,2026-01,32,5180.81,113,1,4003.9,loja,basico,80.55,9,6.8,15.39,1,0,S,desempregado,1,0.0543,0,0,0,1
37,2026-01,64,7980.91,62,0,9353.28,app,premium,192.57,8,0.0,0.0,2,0,NE,CLT,1,0.0078,0,0,0,1
38,2026-01,68,4645.75,84,0,3790.56,site,basico,77.45,11,0.0,0.0,2,0,SE,CLT,1,0.0241,0,0,0,1
39,2026-01,61,3750.38,112,0,7434.92,app,plus,130.41,11,0.0,0.0,2,0,NE,autonomo,1,0.022,0,0,0,1
40,2026-01,69,6043.51,89,0,1616.07,app,basico,70.18,8,0.0,0.0,2,0,CO,CLT,1,0.0265,0,0,0,1
41,2026-01,20,5792.63,86,0,11203.29,site,basico,75.63,6,0.0,0.0,2,0,SE,CLT,1,0.013,0,0,0,1
42,2026-01,54,2787.35,13,0,5238.62,app,premium,168.64,11,0.0,0.0,0,0,SE,autonomo,1,0.0304,0,0,0,1
43,2026-01,68,3534.91,59,1,6238.3,loja,premium,180.48,9,19.2,75.62,1,0,CO,autonomo,1,0.0302,0,0,0,1
44,2026-01,24,6473.75,19,2,6447.59,app,basico,86.14,10,5.4,11.2,3,0,NE,autonomo,1,0.025,0,0,0,1
45,2026-01,38,5270.42,49,1,7518.92,app,premium,180.5,10,5.2,22.51,1,0,SE,CLT,1,0.0295,0,0,0,1
46,2026-01,26,1200.0,100,0,2202.05,site,plus,129.72,7,0.0,0.0,2,0,NE,autonomo,0,0.0474,0,0,0,0
47,2026-01,56,5367.56,12,0,5986.66,app,premium,173.91,7,0.0,0.0,3,0,CO,CLT,1,0.0238,0,0,0,1
48,2026-01,35,6167.62,61,0,4353.08,site,basico,81.7,10,0.0,0.0,1,0,S,autonomo,1,0.024,0,0,0,1
49,2026-01,21,2992.35,105,0,1776.11,app,plus,115.68,10,0.0,0.0,2,0,SE,autonomo,1,0.0346,0,0,0,1
50,2026-01,42,5718.93,19,0,8467.81,app,basico,82.79,12,0.0,0.0,1,0,CO,CLT,1,0.0292,0,0,0,1
51,2026-01,31,7870.17,76,0,5119.57,app,plus,123.93,9,0.0,0.0,1,0,SE,CLT,1,0.0145,0,0,0,1
52,2026-01,67,5213.47,9,0,6606.3,loja,basico,84.56,8,0.0,0.0,1,0,SE,CLT,1,0.0373,0,0,0,1
53,2026-01,26,3373.89,71,1,6449.61,app,basico,71.34,7,8.8,15.15,0,0,S,CLT,1,0.0534,0,0,0,1
54,2026-01,43,3559.57,28,1,5162.87,site,basico,72.78,12,5.4,21.53,2,0,SE,CLT,0,0.0596,0,0,0,1
55,2026-01,19,4523.46,78,1,10937.57,app,plus,114.27,12,3.7,12.42,2,0,NE,CLT,0,0.0187,0,0,0,1
56,2026-01,37,5179.99,95,2,5881.84,site,basico,77.99,8,4.3,7.67,2,0,NE,autonomo,0,0.0365,0,0,0,1
57,2026-01,45,4613.08,52,2,2105.12,app,plus,120.6,12,15.0,56.68,1,0,NE,CLT,1,0.074,0,0,0,1
58,2026-01,64,5402.87,83,0,4999.05,site,premium,185.56,9,0.0,0.0,1,0,SE,desempregado,1,0.0268,0,0,0,1
59,2026-01,24,4235.5,111,2,7249.34,site,basico,73.12,10,3.1,5.3,2,0,N,CLT,1,0.0448,0,0,0,1
60,2026-01,61,4825.12,16,0,7331.49,site,plus,107.09,11,0.0,0.0,1,0,SE,informal,1,0.0216,0,0,0,1
61,2026-01,25,6236.66,117,1,3280.55,site,basico,97.15,8,3.6,16.69,3,0,CO,autonomo,1,0.0168,0,0,0,1
62,2026-01,64,2583.3,69,1,8323.71,site,premium,170.85,10,13.7,44.41,2,0,NE,CLT,0,0.0475,0,0,0,1
63,2026-01,52,4695.68,99,2,1592.83,loja,basico,86.59,10,1.8,3.42,2,0,S,CLT,1,0.0772,0,0,0,1
64,2026-01,31,4690.37,12,0,8860.34,app,plus,120.15,6,0.0,0.0,3,0,SE,autonomo,1,0.0332,0,0,0,1
65,2026-01,34,6157.2,25,3,2701.63,app,plus,121.91,8,1.4,4.44,0,1,NE,CLT,0,0.0663,0,0,0,1
66,2026-01,53,4091.9,52,0,5434.39,site,premium,179.89,12,0.0,0.0,2,0,SE,desempregado,0,0.0349,0,0,0,1
67,2026-01,67,5675.49,85,1,8661.42,loja,plus,116.82,11,30.3,96.13,1,0,N,CLT,0,0.0201,0,0,0,1
68,2026-01,57,6484.84,100,0,6299.01,site,basico,83.61,8,0.0,0.0,3,0,SE,desempregado,0,0.0384,0,0,0,1
69,2026-01,21,1200.0,53,0,8041.75,app,plus,116.39,12,0.0,0.0,1,0,SE,CLT,1,0.0331,0,0,0,1
70,2026-01,19,6603.54,23,1,7546.65,app,premium,189.23,10,10.0,30.12,2,0,CO,autonomo,0,0.0242,1,0,1,0
71,2026-01,23,2726.31,16,1,9215.67,app,plus,124.45,11,8.6,30.43,2,0,SE,autonomo,1,0.0377,0,0,0,1
72,2026-01,59,2530.91,57,1,8655.52,loja,basico,84.7,12,4.2,19.07,0,0,SE,informal,1,0.0545,0,0,0,1
73,2026-01,21,1200.0,39,3,4865.64,app,premium,175.84,9,2.6,7.17,1,1,SE,CLT,1,0.1291,0,1,0,1
74,2026-01,46,3054.28,109,1,7582.35,app,plus,118.01,12,6.5,25.49,2,0,N,autonomo,1,0.0193,0,0,0,1
75,2026-01,35,4491.26,53,2,2183.62,app,plus,110.4,6,3.1,13.83,1,0,NE,CLT,1,0.0763,0,0,0,1
76,2026-01,43,3810.02,42,1,5855.24,app,basico,77.08,10,8.7,26.61,1,0,S,informal,1,0.0826,0,0,0,1
77,2026-01,61,3667.45,58,0,8046.21,loja,plus,111.61,12,0.0,0.0,1,0,CO,CLT,1,0.015,0,0,0,1
78,2026-01,51,2497.5,39,1,6334.62,app,basico,90.4,7,2.1,7.41,1,0,SE,informal,0,0.0646,0,0,0,1
79,2026-01,27,6061.01,14,1,7116.6,site,plus,120.3,7,9.5,33.18,2,0,SE,CLT,1,0.0064,0,0,0,1
80,2026-01,53,6225.14,95,2,5466.82,app,basico,81.26,6,5.5,23.0,1,0,SE,informal,0,0.0356,0,0,0,1
81,2026-01,31,5252.61,5,0,8822.67,app,plus,118.1,5,0.0,0.0,1,0,N,informal,1,0.0261,0,0,0,1
82,2026-01,48,1200.0,35,0,5798.96,app,premium,181.48,10,0.0,0.0,1,0,CO,informal,0,0.0524,0,0,0,1
83,2026-01,65,8592.02,87,0,4836.37,app,basico,99.62,8,0.0,0.0,1,0,SE,CLT,1,0.0171,0,0,0,1
84,2026-01,32,4764.55,93,0,8216.29,app,premium,177.5,6,0.0,0.0,1,0,NE,CLT,1,0.0,0,0,0,1
85,2026-01,25,5471.3,107,0,2487.1,app,basico,74.7,9,0.0,0.0,1,0,NE,desempregado,1,0.0363,0,0,0,1
86,2026-01,31,1803.07,75,0,7252.58,loja,premium,184.14,8,0.0,0.0,1,0,N,CLT,1,0.0406,0,0,0,1
87,2026-01,40,4479.4,18,0,3393.79,app,plus,99.69,7,0.0,0.0,1,0,CO,CLT,1,0.0281,0,0,0,0
88,2026-01,57,5244.04,111,1,9194.82,loja,plus,120.41,7,10.3,26.76,2,0,S,autonomo,0,0.0048,0,0,0,1
89,2026-01,38,4246.38,76,1,5347.43,site,plus,116.93,8,18.6,45.0,1,0,N,autonomo,0,0.0415,0,0,0,1
90,2026-01,33,6069.89,9,1,6337.46,site,premium,171.96,6,9.7,16.48,2,0,NE,CLT,1,0.021,0,0,0,1
91,2026-01,62,6840.62,74,3,7031.43,app,basico,83.96,7,4.4,20.72,1,1,NE,autonomo,1,0.0484,0,0,0,1
92,2026-01,35,2081.66,58,0,1175.79,app,basico,80.33,10,0.0,0.0,1,0,SE,informal,1,0.0822,0,1,0,1
93,2026-01,64,6030.22,108,0,4373.54,app,plus,105.48,11,0.0,0.0,2,0,SE,CLT,1,0.0191,0,0,0,1
94,2026-01,41,5209.81,17,3,8608.86,app,plus,114.73,12,9.6,38.79,1,1,CO,desempregado,1,0.0686,0,0,0,1
95,2026-01,43,4491.55,102,0,8169.41,site,plus,96.79,8,0.0,0.0,2,0,SE,CLT,1,0.0086,0,0,0,1
96,2026-01,42,1672.54,7,1,6707.58,app,plus,122.25,7,4.9,8.32,2,0,SE,CLT,0,0.0696,0,1,0,1
97,2026-01,62,7163.73,46,1,2626.34,app,basico,82.17,7,17.4,76.4,1,0,S,CLT,0,0.0367,0,0,0,1
98,2026-01,58,5214.19,13,1,7463.76,loja,plus,113.55,6,4.3,14.13,2,0,SE,CLT,0,0.0169,0,0,0,1
99,2026-01,46,1290.15,40,0,7783.5,loja,basico,84.22,10,0.0,0.0,2,0,NE,desempregado,1,0.0714,0,0,0,1
100,2026-01,32,4062.36,42,1,6117.54,loja,plus,109.64,6,11.3,41.38,1,0,NE,CLT,1,0.0433,0,0,0,1
101,2026-01,62,5089.0,9,1,9057.93,app,basico,72.17,9,4.9,20.69,1,0,NE,CLT,1,0.0294,0,0,0,1
102,2026-01,18,5411.84,50,1,4291.42,app,basico,83.24,9,2.3,6.13,1,0,NE,CLT,1,0.038,0,0,0,1
103,2026-01,42,4270.31,27,0,4725.36,app,basico,74.39,11,0.0,0.0,2,0,S,autonomo,1,0.0414,0,0,0,1
104,2026-01,24,5114.86,66,1,500.0,app,basico,79.4,7,5.2,17.12,2,0,CO,autonomo,1,0.0707,0,0,0,1
105,2026-01,26,8314.0,5,0,8299.57,app,plus,115.39,5,0.0,0.0,3,0,NE,CLT,1,0.0,0,0,0,1
106,2026-01,41,7283.77,29,2,6784.65,app,basico,76.61,7,6.6,31.48,2,0,SE,CLT,0,0.0416,0,1,0,1
107,2026-01,18,2790.87,37,0,1795.45,app,basico,76.96,11,0.0,0.0,1,0,SE,informal,0,0.0885,1,1,1,0
108,2026-01,61,3425.58,38,3,1603.5,app,basico,74.25,9,12.4,59.31,1,1,NE,CLT,1,0.1845,0,0,0,1
109,2026-01,25,4299.83,83,1,3818.42,app,basico,82.32,6,13.3,25.1,2,0,CO,CLT,1,0.0477,1,0,1,0
110,2026-01,41,1351.68,8,3,7984.14,loja,basico,74.88,8,23.9,38.42,1,1,CO,CLT,1,0.1903,0,0,0,1
111,2026-01,28,2085.47,112,2,5249.1,loja,basico,80.03,11,3.4,5.92,3,0,SE,informal,0,0.0925,0,0,0,1
112,2026-01,68,1580.95,109,0,3988.03,site,plus,114.07,6,0.0,0.0,1,0,N,CLT,1,0.0442,0,0,0,1
113,2026-01,34,2434.1,65,3,3484.71,app,plus,107.63,7,6.1,22.11,1,1,NE,CLT,0,0.109,0,0,0,1
114,2026-01,25,7001.29,86,1,3372.72,app,plus,127.2,10,5.6,10.2,2,0,SE,CLT,0,0.0236,0,0,0,1
115,2026-01,52,2960.57,116,0,1165.8,app,basico,83.9,6,0.0,0.0,2,0,NE,desempregado,1,0.061,0,0,0,1
116,2026-01,52,2651.29,17,0,2981.51,loja,basico,98.21,9,0.0,0.0,1,0,SE,CLT,1,0.0701,0,0,0,1
117,2026-01,50,6089.11,71,2,3323.55,loja,premium,171.55,8,10.7,45.26,2,0,SE,informal,1,0.0424,0,0,0,1
118,2026-01,22,3691.25,89,2,7706.56,app,plus,118.23,8,18.1,75.83,1,0,CO,CLT,1,0.0465,0,0,0,1
119,2026-01,59,5253.55,45,2,5585.69,site,basico,78.87,12,5.0,22.15,2,0,S,CLT,1,0.0629,0,0,0,1
120,2026-01,56,3189.28,4,1,3936.04,app,basico,87.81,4,11.7,44.93,2,0,SE,informal,1,0.0927,0,1,0,1
121,2026-01,58,1256.6,36,2,11774.31,app,basico,75.84,11,10.0,19.34,2,0,NE,CLT,0,0.0776,0,1,0,1
122,2026-01,45,5341.89,70,2,4340.26,loja,basico,70.53,8,26.4,75.96,2,0,SE,informal,1,0.0974,1,0,1,0
123,2026-01,24,1707.42,31,2,8917.76,site,basico,89.56,10,1.3,5.09,1,0,SE,desempregado,1,0.1168,0,1,0,1
124,2026-01,26,3581.11,19,2,10052.77,loja,plus,117.37,7,4.4,10.99,1,0,SE,informal,1,0.0441,0,0,0,1
125,2026-01,25,3180.69,61,0,2075.1,site,plus,126.93,9,0.0,0.0,3,0,NE,CLT,1,0.0571,0,0,0,1
126,2026-01,29,4851.62,108,2,6184.91,app,plus,126.0,12,11.6,19.47,1,0,S,informal,0,0.0406,0,0,0,1
127,2026-01,51,3499.3,54,2,4706.17,site,plus,119.66,10,7.6,19.61,3,0,CO,CLT,1,0.0808,0,0,0,1
128,2026-01,50,4270.08,39,1,4502.69,app,plus,118.51,9,20.0,67.14,1,0,NE,informal,1,0.0731,0,0,0,1
129,2026-01,65,1691.0,91,1,7388.44,site,plus,116.77,9,2.4,8.69,2,0,NE,autonomo,1,0.0299,0,0,0,1
130,2026-01,40,8100.63,74,3,4442.82,app,premium,179.78,7,6.1,21.02,2,1,NE,informal,1,0.0439,0,0,0,1
131,2026-01,41,2339.76,90,1,4760.08,site,basico,86.8,11,17.1,65.54,3,0,SE,CLT,1,0.0814,0,0,0,1
132,2026-01,54,6662.48,19,1,5579.71,app,basico,73.53,8,5.4,8.75,1,0,NE,CLT,1,0.0364,0,0,0,1
133,2026-01,52,4769.7,39,2,5066.5,loja,basico,80.77,7,5.0,9.62,2,0,NE,CLT,1,0.0585,0,0,0,1
134,2026-01,61,4753.63,67,0,3066.07,app,plus,110.95,10,0.0,0.0,1,0,S,informal,0,0.0455,0,0,0,1
135,2026-01,57,5137.96,45,3,7989.77,loja,premium,171.95,11,3.0,11.34,1,1,NE,CLT,1,0.0531,0,0,0,1
136,2026-01,39,1200.0,13,1,8621.33,app,basico,79.65,10,2.9,5.69,2,0,N,CLT,1,0.0701,0,0,0,1
137,2026-01,44,6239.51,114,1,6859.05,app,premium,164.22,11,3.9,16.75,2,0,N,informal,1,0.0363,0,0,0,1
138,2026-01,52,3580.3,92,2,5058.62,app,basico,96.38,12,1.4,3.33,3,0,NE,autonomo,1,0.0633,0,0,0,1
139,2026-01,18,6678.72,58,2,4236.97,app,premium,170.36,10,7.2,22.54,1,0,NE,CLT,1,0.0459,0,0,0,1
140,2026-01,52,4227.78,20,1,4240.95,site,basico,79.58,7,4.5,9.29,1,0,SE,autonomo,1,0.0606,1,0,1,0
141,2026-01,54,3825.86,92,1,11893.44,app,basico,89.25,11,0.3,1.16,0,0,NE,CLT,1,0.0255,0,0,0,1
142,2026-01,64,2175.81,72,4,8344.6,site,basico,73.0,11,1.5,5.6,1,1,NE,CLT,1,0.1215,0,0,0,1
143,2026-01,31,3122.08,61,1,3899.72,app,basico,61.48,9,0.3,0.68,1,0,SE,CLT,0,0.061,0,0,0,1
144,2026-01,20,5260.16,105,2,6411.74,app,basico,76.34,9,1.6,6.98,2,0,SE,CLT,1,0.04,0,0,0,1
145,2026-01,18,2145.75,39,3,5093.66,site,basico,72.9,6,14.6,42.11,1,1,CO,CLT,1,0.1681,1,0,1,0
146,2026-01,22,1200.0,1,0,7459.5,loja,plus,101.69,1,0.0,0.0,3,0,SE,autonomo,1,0.0355,0,0,0,1
147,2026-01,43,2956.41,3,2,7358.75,app,plus,122.18,3,4.5,9.39,3,0,NE,CLT,0,0.0586,0,0,0,1
148,2026-01,31,6012.01,77,3,8709.02,loja,basico,81.56,6,11.5,28.19,2,1,SE,CLT,1,0.0536,0,0,0,1
149,2026-01,56,7706.32,92,1,3873.61,loja,plus,129.04,12,4.4,7.35,3,0,SE,desempregado,1,0.0263,0,0,0,1
150,2026-01,44,3280.65,62,1,6261.84,app,plus,110.93,12,1.9,6.59,2,0,CO,CLT,0,0.0461,0,0,0,1
151,2026-01,26,1712.11,63,0,1628.63,site,basico,67.11,9,0.0,0.0,1,0,S,CLT,1,0.0771,0,0,0,1
152,2026-01,32,3882.37,113,1,2856.65,site,basico,76.65,10,12.1,40.62,1,0,N,informal,1,0.0723,0,0,0,1
153,2026-01,32,4830.94,25,2,8210.25,loja,basico,79.19,11,7.7,17.72,1,0,SE,desempregado,1,0.0961,0,0,0,1
154,2026-01,43,5540.21,56,1,3623.29,app,basico,87.27,8,13.2,22.54,1,0,NE,informal,1,0.0815,0,0,0,1
155,2026-01,59,8342.35,33,1,3897.73,loja,plus,131.18,10,6.3,14.41,2,0,SE,autonomo,1,0.0,0,0,0,1
156,2026-01,30,4908.33,38,1,5979.3,app,basico,89.62,7,4.1,12.02,1,0,SE,informal,1,0.0598,0,0,0,1
157,2026-01,68,7479.83,117,0,7736.9,app,plus,122.11,12,0.0,0.0,2,0,SE,CLT,1,0.0002,0,0,0,1
158,2026-01,49,3666.73,6,1,3347.93,app,plus,126.3,6,3.6,7.92,2,0,NE,informal,0,0.0733,1,0,1,0
159,2026-01,56,4655.82,58,2,500.0,app,basico,74.78,9,12.0,46.84,1,0,SE,CLT,0,0.1247,0,1,0,1
160,2026-01,66,3432.81,44,1,3824.44,site,plus,121.25,11,2.3,10.06,3,0,SE,desempregado,1,0.0612,0,0,0,1
161,2026-01,69,3275.99,45,1,9014.07,loja,basico,70.37,7,11.8,36.02,1,0,SE,CLT,0,0.0309,0,0,0,1
162,2026-01,49,4025.87,32,1,6857.84,loja,premium,180.4,11,9.8,41.44,1,0,SE,autonomo,1,0.0467,0,1,0,1
163,2026-01,21,3994.82,45,1,9309.69,app,basico,80.61,7,11.9,40.16,2,0,SE,CLT,1,0.0435,0,0,0,1
164,2026-01,47,3412.84,61,2,3170.46,app,plus,133.68,8,2.2,8.01,1,0,CO,informal,1,0.0599,0,0,0,1
165,2026-01,54,3511.34,47,0,1901.51,app,plus,118.07,12,0.0,0.0,2,0,NE,CLT,1,0.0615,0,0,0,1
166,2026-01,40,6474.23,21,1,7156.37,site,basico,80.62,9,3.3,10.17,1,0,SE,informal,1,0.0413,0,1,0,1
167,2026-01,56,8303.6,80,1,6600.06,app,plus,121.8,9,1.2,2.82,1,0,NE,informal,1,0.0206,0,0,0,1
168,2026-01,62,3602.87,118,0,6763.89,site,premium,176.26,8,0.0,0.0,3,0,S,CLT,1,0.0305,0,0,0,1
169,2026-01,32,3916.09,85,0,8332.49,loja,plus,113.48,6,0.0,0.0,1,0,SE,informal,0,0.013,0,0,0,1
170,2026-01,60,5444.3,75,1,7054.21,app,plus,130.29,12,16.1,54.78,1,0,S,informal,1,0.035,0,0,0,1
171,2026-01,46,10236.66,101,0,7014.04,loja,premium,172.05,11,0.0,0.0,1,0,NE,autonomo,1,0.0,0,0,0,1
172,2026-01,53,4651.49,36,2,7787.52,app,basico,69.28,8,6.7,30.38,3,0,S,CLT,1,0.0495,1,0,1,0
173,2026-01,30,6250.74,99,1,7256.04,site,basico,85.34,11,9.3,36.33,1,0,SE,CLT,1,0.0294,0,0,0,1
174,2026-01,49,7280.05,19,1,8143.61,site,plus,129.16,10,2.5,7.21,1,0,SE,CLT,0,0.0,0,0,0,1
175,2026-01,24,5119.32,20,0,8521.3,app,basico,76.29,9,0.0,0.0,0,0,SE,CLT,1,0.0154,0,0,0,1
176,2026-01,68,6167.22,57,3,9829.22,app,plus,116.41,11,12.6,55.72,0,1,NE,desempregado,1,0.0467,0,0,0,1
177,2026-01,39,5594.11,18,1,4377.02,loja,premium,182.16,7,5.8,24.57,2,0,SE,CLT,1,0.0359,0,0,0,1
178,2026-01,45,6358.52,47,0,7201.41,site,basico,74.24,11,0.0,0.0,2,0,SE,informal,1,0.027,0,0,0,1
179,2026-01,19,2638.08,105,0,5074.19,app,basico,73.65,10,0.0,0.0,1,0,N,CLT,1,0.0428,0,0,0,1
180,2026-01,59,4867.71,49,2,3916.1,loja,plus,126.94,12,1.6,4.62,2,0,NE,CLT,1,0.0564,0,0,0,1
181,2026-01,62,5366.19,14,0,4276.15,loja,basico,84.76,9,0.0,0.0,1,0,S,informal,1,0.0526,0,0,0,1
182,2026-01,23,5340.7,15,0,7237.39,loja,plus,130.39,8,0.0,0.0,3,0,S,informal,1,0.0269,0,0,0,1
183,2026-01,45,6546.63,31,1,7045.63,app,basico,69.88,10,14.3,58.71,3,0,S,CLT,1,0.0551,0,0,0,1
184,2026-01,45,5304.4,1,0,7001.03,loja,plus,115.88,1,0.0,0.0,1,0,SE,CLT,0,0.0198,0,0,0,1
185,2026-01,61,2439.09,117,1,5435.72,site,basico,82.15,11,2.9,10.15,2,0,NE,CLT,1,0.049,0,1,0,1
186,2026-01,61,5564.37,54,1,6008.54,app,plus,112.5,12,0.6,2.68,2,0,NE,CLT,1,0.0287,0,0,0,1
187,2026-01,37,2910.46,118,0,8044.38,app,basico,85.03,6,0.0,0.0,1,0,NE,CLT,0,0.0218,0,0,0,1
188,2026-01,47,3241.12,3,0,2276.52,site,plus,129.7,3,0.0,0.0,1,0,N,CLT,0,0.0621,0,0,0,1
189,2026-01,28,3746.68,16,3,6061.61,app,basico,75.23,6,9.3,25.01,1,1,CO,CLT,1,0.1301,1,1,1,0
190,2026-01,45,4299.45,87,1,6224.89,site,plus,120.21,7,2.6,11.98,2,0,NE,autonomo,1,0.0337,0,0,0,1
191,2026-01,42,1721.29,57,0,7883.26,app,premium,191.54,12,0.0,0.0,3,0,CO,CLT,1,0.029,0,0,0,1
192,2026-01,56,6510.41,75,1,2624.38,app,basico,94.29,9,9.1,41.67,2,0,S,CLT,1,0.0377,0,0,0,1
193,2026-01,50,2420.07,12,0,9737.83,site,basico,85.87,6,0.0,0.0,2,0,CO,CLT,0,0.0407,0,0,0,1
194,2026-01,18,7326.2,74,0,6534.08,app,basico,84.65,8,0.0,0.0,2,0,S,informal,0,0.0056,0,0,0,1
195,2026-01,44,2475.09,96,0,6666.45,app,plus,113.07,9,0.0,0.0,2,0,SE,informal,0,0.0434,0,0,0,1
196,2026-01,69,6807.46,16,0,4996.55,app,plus,122.77,8,0.0,0.0,2,0,NE,CLT,0,0.0141,0,0,0,1
197,2026-01,30,4448.84,72,1,7345.06,loja,plus,124.35,12,6.8,23.32,1,0,CO,informal,0,0.0354,0,0,0,1
198,2026-01,58,1410.44,102,2,6119.89,app,basico,78.22,8,9.1,40.98,1,0,NE,CLT,1,0.0888,0,0,0,0
199,2026-01,20,2622.67,76,0,9022.45,app,basico,75.14,6,0.0,0.0,2,0,NE,CLT,1,0.0343,0,0,0,1
