index;idade;renda_anual;tempo_emprego;estado_civil;valor_solicitado;risco
55;23;55746.62;6;casado;17962.4;medio
56;59;87375.68;0;solteiro;21815.15;baixo
57;21;49350.22;2;solteiro;19143.41;medio
58;46;27747.76;12;solteiro;10182.23;medio
59;35;47502.77;16;casado;12034.84;baixo
60;43;34132.57;0;solteiro;16111.51;alto
61;51;62071.39;5;casado;16784.01;baixo
62;27;48604.51;5;casado;17567.17;medio
63;53;46023.29;11;solteiro;17958.38;medio
64;31;46212.49;12;solteiro;18423.63;medio
65;48;58660.91;12;casado;30375.85;alto
66;32;41484.54;14;solteiro;21340.28;alto
67;25;59189.52;15;solteiro;16562.75;baixo
68;31;63056.22;10;casado;29434.15;alto
69;40;43073.16;4;casado;24259.01;alto
70;57;34664.93;3;solteiro;14811.09;medio
71;38;40613.3;2;casado;11783.11;baixo
72;33;58225.57;18;solteiro;18967.34;medio
73;35;49331.7;19;solteiro;15462.32;baixo
74;41;57073.08;17;solteiro;27949.87;alto
75;43;73386.3;14;casado;24328.53;baixo
76;42;51325.73;8;solteiro;14938.74;baixo
77;58;36351.31;16;solteiro;18449.28;alto
78;46;63226.9;13;solteiro;27789.07;medio
79;32;48739.6;14;casado;23936.59;alto
80;18;60563.24;0;casado;33910.87;alto
81;42;63353.26;2;casado;18040.1;baixo
82;24;34190.28;15;casado;14255.87;medio
83;26;67900.87;10;casado;28779.98;medio
84;41;61033.76;11;solteiro;20058.8;baixo
85;18;39303.78;9;casado;13685.63;medio
86;25;52384.07;15;casado;14259.41;baixo
87;41;51703.79;7;casado;15843.08;baixo
88;28;48344.62;5;solteiro;20032.24;medio
89;34;60555.56;11;casado;30513.96;alto
90;25;68697.93;7;casado;27120.23;medio
91;52;48105.21;3;solteiro;15078.69;baixo
92;52;67164.69;7;casado;30665.64;medio
93;50;62230.12;17;solteiro;28584.27;medio
94;22;51345.06;4;solteiro;13492.08;baixo
95;59;50537.01;8;solteiro;10817.02;baixo
96;56;31403.06;3;solteiro;8581.12;baixo
97;58;26388.94;16;solteiro;12532.16;alto
98;45;50376.33;8;casado;10282.21;baixo
99;24;35674.62;0;solteiro;17123.13;alto
100;26;47429.24;19;solteiro;27797.13;alto
101;25;40300.86;12;casado;14502.81;medio
102;29;24000.0;15;solteiro;6338.49;baixo
103;51;53145.19;12;casado;28323.68;alto
104;50;42030.74;13;casado;23619.78;alto
105;40;49154.86;2;casado;28304.78;alto
106;41;35139.07;5;solteiro;18302.08;alto
107;54;43178.63;17;solteiro;17849.54;medio
108;52;70469.47;18;solteiro;24789.33;medio
109;57;49851.13;4;casado;10744.17;baixo
110;39;55913.9;14;solteiro;13109.61;baixo
111;44;29699.45;1;solteiro;12458.46;medio
112;52;82402.12;9;solteiro;41335.44;alto
113;18;74545.16;17;casado;17757.28;baixo
114;52;67633.47;12;casado;35346.43;alto
115;54;59934.23;4;solteiro;16616.26;baixo
116;31;48218.06;0;solteiro;22781.47;alto
117;20;54365.87;0;solteiro;23038.94;medio
118;18;63091.48;17;solteiro;14277.46;baixo
119;22;38948.6;14;casado;22631.64;alto
120;43;41599.22;16;casado;13279.31;baixo
121;31;24000.0;10;casado;11440.68;alto
122;56;36885.81;16;casado;14544.53;medio
123;44;71922.74;12;solteiro;23014.12;baixo
124;26;43186.84;0;solteiro;15545.55;medio
125;32;43423.0;1;solteiro;15067.54;medio
126;32;52575.85;8;casado;27226.28;alto
127;43;24783.93;2;solteiro;5310.92;baixo
128;59;61613.5;0;casado;25243.33;medio
129;30;66236.26;15;casado;19191.82;baixo
130;49;53433.07;5;solteiro;26468.48;alto
131;56;71779.45;16;solteiro;23781.22;baixo
132;49;28893.62;4;solteiro;10493.6;medio
133;21;74549.51;4;casado;21807.51;baixo
134;47;37477.32;5;solteiro;11275.56;baixo
135;54;29569.16;2;casado;14830.29;alto
136;40;44581.56;4;solteiro;19879.28;medio
137;56;74956.88;4;casado;34694.06;medio
138;32;47720.03;9;casado;15218.58;baixo
139;46;34570.68;9;solteiro;7382.03;baixo
140;53;29352.83;18;casado;16644.85;alto
141;30;46486.29;16;casado;25585.87;alto
142;49;24000.0;13;solteiro;5404.38;baixo
143;24;29277.22;8;casado;13793.31;alto
144;39;70220.17;13;solteiro;26868.49;medio
145;45;67055.0;0;casado;27677.47;medio
146;19;46150.87;18;solteiro;24919.21;alto
147;59;41294.43;12;solteiro;21220.58;alto
148;23;48842.53;12;casado;15797.02;medio
149;45;81811.16;3;casado;19983.96;baixo
150;45;53831.65;0;casado;28600.66;alto
151;37;61100.23;16;casado;25823.16;medio
152;47;45084.61;7;casado;10946.07;baixo
153;28;48876.91;1;solteiro;16751.47;medio
154;45;57319.14;7;casado;28068.79;alto
155;42;49815.77;6;solteiro;21128.68;medio
156;56;24000.0;1;solteiro;12939.92;alto
157;50;66439.79;2;casado;30627.42;medio
158;18;39142.08;17;solteiro;20994.6;alto
159;44;78402.97;11;solteiro;34058.42;medio
160;30;57890.62;0;solteiro;16265.98;baixo
161;58;49022.0;11;solteiro;19741.12;medio
162;20;54326.31;4;casado;31247.71;alto
163;56;46437.63;16;solteiro;27734.56;alto
164;23;40995.37;15;casado;21084.57;alto
165;25;50989.41;14;casado;18423.6;medio
166;44;60743.86;14;solteiro;13971.29;baixo
167;26;41310.77;4;casado;18765.72;alto
168;54;39039.78;13;casado;13637.51;medio
169;50;42880.96;1;casado;24654.8;alto
170;59;61708.96;10;solteiro;29270.79;alto
171;41;68916.72;18;casado;36288.76;alto
172;32;53213.0;6;casado;18869.85;medio
173;49;56370.92;5;casado;11714.08;baixo
174;49;38932.31;1;solteiro;21446.23;alto
175;41;60625.27;5;casado;14440.16;baixo
176;58;55945.01;17;solteiro;26135.79;medio
177;29;37774.16;1;solteiro;8186.18;baixo
178;56;24000.0;17;solteiro;12022.57;alto
179;19;30423.79;14;solteiro;11028.9;medio
180;20;38363.48;18;solteiro;22909.17;alto
181;54;64731.9;1;solteiro;33706.08;alto
182;34;70361.18;19;casado;22308.74;baixo
183;19;41670.94;5;solteiro;8973.55;baixo
184;19;42126.02;0;casado;20940.27;alto
185;45;51767.37;14;casado;29158.78;alto
186;40;48174.91;9;solteiro;11284.03;baixo
187;54;61405.45;18;casado;17301.82;baixo
188;49;40466.09;16;casado;8321.75;baixo
189;50;61667.66;4;casado;27645.04;medio
190;18;44555.16;3;casado;14039.89;medio
191;36;60297.24;9;solteiro;25847.84;medio
192;19;44097.02;16;casado;25127.29;alto
193;43;39171.44;9;solteiro;20391.43;alto
194;49;75537.37;16;casado;30584.3;medio
195;23;63339.27;19;casado;29406.02;alto
196;49;24000.0;4;solteiro;9717.64;medio
197;21;41566.46;1;casado;19295.04;alto
198;28;65350.89;5;casado;29559.83;medio
199;34;30768.09;1;casado;15520.17;alto
